"name","orig_id","streetAddress","state","location"
"BANCO MULTIPLE VIMENCA  C  POR","ADR004301","Av Abraham Lincoln  Esq J F Ke","Distrito Nacional","18.483631,-69.939474"
"FARMACIA METROPOLITANA  S R L","ADR004477","Plaza Metropolitana, Local 110","Santo Domingo","18.483146,-69.921131"
"SUPEFARMACIA KAREN  SRL","ADR004466","Av. Nicolas De Ovando #936","Santo Domingo","18.499179,-69.923597"
"BANCO MULTIPLE VIMENCA  SA","ADR004565","Ave. Lope De Vega Esq. Rafael","Santo Domingo","18.470991,-69.931393"
"AGENTE DE REMESAS Y CAMBIO VIMENCA SA","ADR002596","Av  W  Churchill Esq  Av  Gustavo M  Ric","Santo Domingo","18.47267,-69.94218"
"AGENTE DE REMESAS Y CAMBIO VIMENCA SA","ADR004356","Av  J F Kennedy Esquina Maximo Gomez","Santo Domingo","18.48244,-69.91174"
"CARMELO GONZALEZ Y ASOC","ADR004004","C/ Luis Amiama Tio No. 147","Santo Domingo","18.503035,-69.943035"
"AGENTE DE REMESAS Y CAMBIO VIMENCA SA","ADR000561","Av  Maximo Gomez Esq  Nicolas De Ovando","Santo Domingo","18.50023,-69.91473"
"VIMENPAQ","ADR006633","Supermercado Nacional Arroyo H","Santo Domingo","18.502146,-69.942784"
"AGENTE DE REMESAS Y CAMBIO VIMENCA SA","ADR003234","Av  Abraham Lincoln No  306","Santo Domingo","18.46182,-69.92852"
"AGENTE DE REMESAS Y CAMBIO VIMENCA SA","ADR004280","Av  Jose Contreras Esq  Av  Alma Mater","Santo Domingo","18.46369,-69.91911"
"COOPERATIVA LA CANDELARIA","ADR007337","Av. 27 De Feb, Esq. Paseo De P","Distrito Nacional","18.47669,-69.91178"
"RUAMAR","ADR006699","Av 27 De Febrero Esq Winston Churchill","Distrito Nacional","18.464146,-69.936482"
"AGENTE DE REMESAS Y CAMBIO VIM","ADR006622","Abraham Lincoln 306, La Julia","Distrito Nacional","18.461984,-69.928547"
"BANCO VIMENCA SA","ADR006073","Av Abrham Lincoln 312","Distrito Nacional","18.461948,-69.928485"
"CUENTA TRAINNING","ADR006820","Av  Abraham Lincoln No  306","Santo Domingo","18.46182,-69.92852"
"AGENTE DE REMESAS Y CAMBIO VIM","ADR006644","Abraham Lincoln #306 La Julia","Santo Domingo","18.461641,-69.928432"
"COOPCENTRAL","ADR006666","Av Expreso Quinto Centenario Edif No 9","Distrito Nacional","18.485124,-69.904066"
"VIMENPAQ CHURCHILL","ADR004620","Av. Winston Churchill #5a","Santo Domingo","18.460375,-69.933657"
"INVERSIONES EC","ADR006819","Jose Contreras Esq Elvira De M","Distrito Nacional","18.466072,-69.91242"
"AGENTE DE REMESAS Y CAMBIO VIMENCA SA","ADR001836","Av  Duarte No  194 Esq  Manuela Diez","Santo Domingo","18.48793,-69.89544"
"COOP AHORRO Y CREDITO CENTRAL","ADR004718","Av. 27 De Febrero No. 338","Santo Domingo","18.459727,-69.94121"
"VIMENCA S A","ADR004839","Av  Nunez De Caceres Esq  Guarocuya","Santo Domingo","18.459762,-69.957308"
"ASOCIACION MOCANA OFICINA PRINCIPAL MOCA","ADR007249","Av Romulo Betancourt 306 Bella Vista","Distrito Nacional","18.457574,-69.940239"
"AGENTE DE REMESAS Y CAMBIO VIM","ADR001946","Av  Padre Castellanos No  218 Esquina Ma","Santo Domingo","18.49769,-69.89275"
"AGENTE DE REMESAS Y CAMBIO VIMENCA SA","ADR003926","Av  Duarte No  78 Esquina Barahona","Santo Domingo","18.48093,-69.89115"
"BANCO MULTIPLE VIMENCA C  POR","ADR003542","Ave Isabel Aguiar Local B 8","Santo Domingo","18.475728,-69.971159"
"AGENTE DE REMESAS Y CAMBIO VIMENCA SA","ADR003762","Av  Luperon Antiguo Aeropuerto Herrera","Santo Domingo","18.46629,-69.96957"
"AGENTE DE REMESAS Y CAMBIO VIMENCA SA","ADR003850","Av  Luperon Esq  Gustavo M  Ricart","Santo Domingo","18.4632,-69.96835"
"AGENTE DE REMESAS Y CAMBIO VIMENCA SA","ADR002574","Av  Mella Esquina Av  Duarte No  258","Santo Domingo","18.47742,-69.88757"
