"name","orig_id","streetAddress","state","location"
"PAY-O-MATIC #332","ANY226352","86 W Broadway","NY","40.715279,-74.00961"
"DUANE READE #14102","ANY204868","250 Broadway Frnt D","NY","40.71281,-74.00742"
"7-ELEVEN #39102","ANY144182","140 Church St","NY","40.71457,-74.00826"
"DOWNTOWN PHARMACY","ANY208587","165 William St","NY","40.71019,-74.00582"
"7-ELEVEN #39640","ANY933629","110 Church Street","NY","40.713592,-74.009286"
"DUANE READE #14118","ANY204967","305 Broadway Frnt A","NY","40.71538,-74.00528"
"7-ELEVEN #35710","ANY177467","311 Broadway","NY","40.7155,-74.00517"
"7-ELEVEN #36797","ANY192581","111 Fulton St","NY","40.7096,-74.00653"
"DUANE READE #14400","ANY204693","17 John St Frnt 2","NY","40.70984,-74.00886"
"RITE AID #4202","ANY125383","7 Madison St","NY","40.711945,-74.00018"
"BUY RITE PHARMACY","ANY103909","11 Chatham Sq","NY","40.7139,-73.99769"
"7-ELEVEN #36478","ANY192185","111 John St","NY","40.70765,-74.00575"
"DUANE READE #14436","ANY204835","200 Water St Frnt 1","NY","40.70735,-74.0042"
"BUY RITE PHARMACY V","ANY156633","139 Centre St","NY","40.717483,-74.000696"
"DUANE READE #14497","ANY219114","100 Broadway","NY","40.70799,-74.01149"
"BROAD ST CHECK CASHING","ANY677550","24 Beaver St","NY","40.70499,-74.01212"
"PAY-O-MATIC #305","ANY004745","295 Church St","NY","40.71924,-74.00456"
"BUY RITE PHARMACY II","ANY102029","106 Lafayette St","NY","40.71806,-74.00086"
"7-ELEVEN #35472","ANY167831","110 Lafayette St","NY","40.718213,-74.000972"
"DUANE READE #14485","ANY205034","40 Wall St","NY","40.70673,-74.01005"
"RITE AID #10534","ANY130826","225 Liberty St Ste 1","NY","40.71141,-74.01543"
"DUANE READE #14412","ANY206585","352 Greenwich St","NY","40.719174,-74.010759"
"DUANE READE #14126","ANY205287","95 Wall St Frnt 5","NY","40.70509,-74.00728"
"7-ELEVEN #38310","ANY931144","88 Greenwich St","NY","40.707778,-74.013832"
"DUANE READE #14356","ANY206574","325 N End Ave Lbby 1","NY","40.71685,-74.01472"
"GRAND STREET PHARMACEUTICAL","ANY221775","215 Grand St # 217","NY","40.718889,-73.995967"
"DUANE READE #14101","ANY205001","37 Broadway","NY","40.706297,-74.013188"
"DUANE READE #14125","ANY205177","67 Broad St","NY","40.704871,-74.011241"
"DUANE READE #14131","ANY206398","1 Whitehall St Frnt 1","NY","40.70378,-74.01315"
"DUANE READE #14480","ANY219103","60 Spring St","NY","40.72219,-73.99683"
